,flux,norm_error,spec_error,wave
76,-3.869999885559082,0.4399999976158142,0.4399999976158142,2.369499921798706
77,-3.8399999141693115,0.4399999976158142,0.4399999976158142,2.3696300983428955
78,-3.7899999618530273,0.4399999976158142,0.4399999976158142,2.3697500228881836
79,-3.7300000190734863,0.4399999976158142,0.4399999976158142,2.369879961013794
80,-3.6500000953674316,0.4399999976158142,0.4399999976158142,2.369999885559082
81,-3.569999933242798,0.4399999976158142,0.4399999976158142,2.3701300621032715
82,-3.490000009536743,0.4399999976158142,0.4399999976158142,2.3702499866485596
83,-3.4200000762939453,0.4399999976158142,0.4399999976158142,2.37037992477417
84,-3.3499999046325684,0.4399999976158142,0.4399999976158142,2.370500087738037
85,-3.309999942779541,0.4300000071525574,0.4300000071525574,2.3706300258636475
